"","log10_neutR","efficacy1","efficacy2","efficacy3","efficacy4","efficacy5"
"1877",-3.124,0.00017641835949521,0.000445906143188667,0.00151149689350058,0.0167604020664183,0.038137048598357
"1878",-3.123,0.000176964952237747,0.00044728489491201,0.00151613596224919,0.0168082510814388,0.0382385991662071
"1879",-3.122,0.000177513236187556,0.000448667895718919,0.00152078912664163,0.0168562279801802,0.038340390452551
"1880",-3.121,0.000178063216563373,0.000450055158619923,0.00152545642869263,0.0169043330642325,0.0384424229062762
"1881",-3.12,0.000178614898599953,0.000451446696664888,0.00153013791053763,0.0169525666357209,0.038544696976635
"1882",-3.119,0.000179168287548119,0.000452842522943134,0.0015348336144331,0.0170009289973062,0.038647213113242
"1883",-3.118,0.000179723388674807,0.000454242650583548,0.00153954358275684,0.0170494204521846,0.0387499717660728
"1884",-3.117,0.000180280207263123,0.000455647092754705,0.00154426785800833,0.0170980413040882,0.0388529733854628
"1885",-3.116,0.000180838748612385,0.000457055862664982,0.00154900648280905,0.017146791857285,0.038956218422105
"1886",-3.115,0.000181399018038172,0.000458468973562675,0.00155375949990275,0.0171956724165792,0.0390597073270483
"1887",-3.114,0.00018196102087238,0.00045988643873612,0.0015585269521559,0.0172446832873114,0.0391634405516967
"1888",-3.113,0.000182524762463265,0.000461308271513804,0.00156330888255787,0.0172938247753586,0.0392674185478066
"1889",-3.112,0.000183090248175495,0.000462734485264494,0.00156810533422136,0.0173430971871346,0.0393716417674857
"1890",-3.111,0.000183657483390201,0.000464165093397346,0.00157291635038271,0.0173925008295901,0.0394761106631916
"1891",-3.11,0.000184226473505025,0.000465600109362027,0.00157774197440217,0.0174420360102126,0.0395808256877293
"1892",-3.109,0.00018479722393417,0.000467039546648837,0.00158258224976431,0.0174917030370271,0.0396857872942502
"1893",-3.108,0.000185369740108454,0.000468483418788826,0.00158743722007831,0.0175415022185957,0.0397909959362502
"1894",-3.107,0.000185944027475355,0.000469931739353911,0.00159230692907827,0.0175914338640182,0.039896452067568
"1895",-3.106,0.000186520091499065,0.000471384521957007,0.0015971914206236,0.0176414982829319,0.0400021561423833
"1896",-3.105,0.00018709793766054,0.000472841780252133,0.0016020907386993,0.0176916957855121,0.0401081086152151
"1897",-3.104,0.000187677571457552,0.000474303527934545,0.00160700492741632,0.0177420266824719,0.0402143099409203
"1898",-3.103,0.000188258998404737,0.000475769778740851,0.00161193403101187,0.0177924912850626,0.0403207605746914
"1899",-3.102,0.000188842224033647,0.000477240546449134,0.00161687809384981,0.0178430899050736,0.0404274609720552
"1900",-3.101,0.000189427253892807,0.000478715844879075,0.0016218371604209,0.0178938228548327,0.0405344115888708
"1901",-3.1,0.000190014093547756,0.000480195687892075,0.00162681127534321,0.0179446904472064,0.0406416128813281
"1902",-3.099,0.000190602748581109,0.000481680089391375,0.00163180048336243,0.0179956929955996,0.0407490653059456
"1903",-3.098,0.000191193224592601,0.000483169063322187,0.00163680482935221,0.018046830813956,0.0408567693195691
"1904",-3.097,0.000191785527199144,0.000484662623671804,0.00164182435831448,0.0180981042167582,0.0409647253793695
"1905",-3.096,0.000192379662034877,0.000486160784469736,0.00164685911537982,0.0181495135190277,0.0410729339428414
"1906",-3.095,0.000192975634751218,0.000487663559787831,0.00165190914580778,0.0182010590363252,0.0411813954678011
"1907",-3.094,0.000193573451016915,0.000489170963740394,0.00165697449498723,0.0182527410847504,0.0412901104123844
"1908",-3.093,0.000194173116518105,0.000490683010484317,0.0016620552084367,0.0183045599809426,0.0413990792350456
"1909",-3.092,0.000194774636958359,0.000492199714219205,0.00166715133180472,0.0183565160420802,0.0415083023945551
"1910",-3.091,0.000195378018058737,0.000493721089187493,0.00167226291087015,0.0184086095858812,0.0416177803499973
"1911",-3.09,0.000195983265557844,0.000495247149674586,0.00167738999154256,0.0184608409306033,0.0417275135607699
"1912",-3.089,0.000196590385211881,0.00049677791000897,0.00168253261986253,0.0185132103950435,0.0418375024865805
"1913",-3.088,0.000197199382794698,0.00049831338456235,0.00168769084200203,0.018565718298539,0.041947747587446
"1914",-3.087,0.000197810264097848,0.000499853587749771,0.00169286470426475,0.0186183649609666,0.04205824932369
"1915",-3.086,0.000198423034930641,0.000501398534029745,0.00169805425308646,0.0186711507027429,0.0421690081559413
"1916",-3.085,0.000199037701120197,0.000502948237904382,0.00170325953503533,0.0187240758448246,0.0422800245451317
"1917",-3.084,0.000199654268511501,0.000504502713919516,0.00170848059681231,0.0187771407087084,0.0423912989524944
"1918",-3.083,0.000200272742967455,0.000506061976664831,0.00171371748525144,0.0188303456164312,0.0425028318395619
"1919",-3.082,0.000200893130368938,0.000507626040773995,0.00171897024732027,0.0188836908905699,0.0426146236681642
"1920",-3.081,0.00020151543661485,0.000509194920924784,0.00172423893012013,0.0189371768542417,0.0427266749004266
"1921",-3.08,0.000202139667622179,0.000510768631839212,0.00172952358088653,0.018990803831104,0.0428389859987681
"1922",-3.079,0.000202765829326046,0.000512347188283664,0.00173482424698949,0.0190445721453546,0.0429515574258995
"1923",-3.078,0.000203393927679765,0.000513930605069022,0.00174014097593391,0.0190984821217315,0.043064389644821
"1924",-3.077,0.000204023968654897,0.0005155188970508,0.00174547381535993,0.0191525340855131,0.0431774831188207
"1925",-3.076,0.000204655958241303,0.000517112079129267,0.00175082281304323,0.0192067283625184,0.0432908383114722
"1926",-3.075,0.000205289902447204,0.000518710166249589,0.00175618801689547,0.0192610652791067,0.0434044556866332
"1927",-3.074,0.000205925807299234,0.00052031317340195,0.00176156947496459,0.0193155451621778,0.0435183357084429
"1928",-3.073,0.000206563678842493,0.000521921115621691,0.00176696723543515,0.0193701683391718,0.0436324788413203
"1929",-3.072,0.000207203523140608,0.000523534007989438,0.00177238134662874,0.0194249351380697,0.0437468855499624
"1930",-3.071,0.000207845346275786,0.000525151865631238,0.00177781185700434,0.0194798458873926,0.0438615562993418
"1931",-3.07,0.000208489154348872,0.000526774703718686,0.00178325881515859,0.0195349009162024,0.0439764915547046
"1932",-3.069,0.000209134953479403,0.00052840253746907,0.00178872226982627,0.0195901005541015,0.0440916917815692
"1933",-3.068,0.000209782749805667,0.00053003538214549,0.00179420226988059,0.0196454451312325,0.044207157445723
"1934",-3.067,0.000210432549484758,0.000531673253057003,0.00179969886433354,0.0197009349782791,0.0443228890132214
